"Antragssteller_ID","Kredit_Zeitspanne","Antragssteller_Kredit_Historie","Kredit_Nutzung","Kredit_Höhe","Antragssteller_Beschäftigt_Seit","Antragssteller_Teilzahlungshöhe","Antragssteller_Geschlecht_Familienstand","Kredit_Zusätzliche_Antragssteller","Antragssteller_Letzter_Wohnwechsel","Antragssteller_Eigentum","Antragssteller_Alter","Antragssteller_Weitere_Ratenzahlungen","Antragssteller_Wohnverhältnis","Antragssteller_Anzahl_Kredite","Antragssteller_Job","Antragssteller_Anzahl_Personen_Vormund","Antragssteller_Telefon","Antragssteller_Ausländisch","Kredit_Score"
194,6,"existing credits paid back duly till now","radio/television",2108,"4 to 7 years",2,"male (married/widowed)","none",2,"real estate",29,"none","rent",1,"skilled employee / official",1,"none",NA,"good"
195,45,"existing credits paid back duly till now","radio/television",3031,"1 to 4 years",4,"male (single)","guarantor",4,"building society savings agreement/ life insurance",21,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
196,9,"critical account/ other credits existing (not at this bank)","education",1501,"more than 7 years",2,"female (divorced/separated/married)","none",3,"car or other",34,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
197,6,"critical account/ other credits existing (not at this bank)","radio/television",1382,"1 to 4 years",1,"female (divorced/separated/married)","none",1,"car or other",28,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
198,12,"existing credits paid back duly till now","furniture/equipment",951,"less than 1 year",4,"female (divorced/separated/married)","none",4,"car or other",27,"bank","rent",4,"skilled employee / official",1,"none","Yes","bad"
199,24,"existing credits paid back duly till now","car (used)",2760,"more than 7 years",4,"male (single)","none",4,"unknown / no property",36,"bank","for free",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
200,18,"delay in paying off in the past","furniture/equipment",4297,"more than 7 years",4,"male (divorced/separated)","none",3,"unknown / no property",40,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"bad"
201,9,"critical account/ other credits existing (not at this bank)","education",936,"more than 7 years",4,"male (single)","none",2,"car or other",52,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
202,12,"existing credits paid back duly till now","car (new)",1168,"1 to 4 years",4,"male (married/widowed)","none",3,"real estate",27,"none","own",1,"unskilled - resident",1,"none",NA,"good"
203,27,"delay in paying off in the past","business",5117,"4 to 7 years",3,"male (single)","none",4,"car or other",26,"none","own",2,"skilled employee / official",1,"none",NA,"good"
204,12,"existing credits paid back duly till now","retraining",902,"4 to 7 years",4,"male (married/widowed)","none",4,"building society savings agreement/ life insurance",21,"none","rent",1,"skilled employee / official",1,"none",NA,"bad"
205,12,"critical account/ other credits existing (not at this bank)","car (new)",1495,"more than 7 years",4,"male (single)","none",1,"real estate",38,"none","own",2,"unskilled - resident",2,"none",NA,"good"
206,30,"critical account/ other credits existing (not at this bank)","car (used)",10623,"more than 7 years",3,"male (single)","none",4,"unknown / no property",38,"none","for free",3,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name",NA,"good"
207,12,"critical account/ other credits existing (not at this bank)","furniture/equipment",1935,"more than 7 years",4,"male (single)","none",4,"real estate",43,"none","own",3,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
208,12,"critical account/ other credits existing (not at this bank)","domestic appliances",1424,"4 to 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",1,"none",NA,"good"
209,24,"existing credits paid back duly till now","business",6568,"1 to 4 years",2,"male (married/widowed)","none",2,"car or other",21,"stores","own",1,"unskilled - resident",1,"none",NA,"good"
210,12,"existing credits paid back duly till now","car (used)",1413,"4 to 7 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",55,"none","own",1,"skilled employee / official",1,"none",NA,"good"
211,9,"critical account/ other credits existing (not at this bank)","radio/television",3074,"1 to 4 years",1,"male (single)","none",2,"real estate",33,"none","own",2,"skilled employee / official",2,"none",NA,"good"
212,36,"existing credits paid back duly till now","radio/television",3835,"more than 7 years",2,"female (divorced/separated/married)","none",4,"real estate",45,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name",NA,"good"
213,27,"no credits taken / all credits paid back duly","business",5293,"Unemployed",2,"male (single)","none",4,"building society savings agreement/ life insurance",50,"stores","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
214,30,"delay in paying off in the past","business",1908,"more than 7 years",4,"male (single)","none",4,"real estate",66,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
215,36,"critical account/ other credits existing (not at this bank)","radio/television",3342,"more than 7 years",4,"male (single)","none",2,"car or other",51,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
216,6,"critical account/ other credits existing (not at this bank)","retraining",932,"4 to 7 years",1,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",39,"none","own",2,"unskilled - resident",1,"none",NA,"good"
217,18,"no credits taken / all credits paid back duly","business",3104,"4 to 7 years",3,"male (single)","none",1,"building society savings agreement/ life insurance",31,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
218,36,"existing credits paid back duly till now","radio/television",3913,"1 to 4 years",2,"male (single)","none",2,"real estate",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
219,24,"existing credits paid back duly till now","furniture/equipment",3021,"1 to 4 years",2,"male (divorced/separated)","none",2,"real estate",24,"none","rent",1,"unskilled - resident",1,"none",NA,"good"
220,10,"existing credits paid back duly till now","car (new)",1364,"1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",64,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
221,12,"existing credits paid back duly till now","radio/television",625,"less than 1 year",4,"male (married/widowed)","guarantor",1,"real estate",26,"bank","own",1,"unskilled - resident",1,"none","Yes","good"
222,12,"existing credits paid back duly till now","education",1200,"1 to 4 years",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",23,"bank","rent",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
223,12,"existing credits paid back duly till now","radio/television",707,"1 to 4 years",4,"male (single)","none",2,"real estate",30,"bank","own",2,"skilled employee / official",1,"none",NA,"good"
224,24,"delay in paying off in the past","business",2978,"1 to 4 years",4,"male (single)","none",4,"real estate",32,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name",NA,"good"
225,15,"existing credits paid back duly till now","car (used)",4657,"1 to 4 years",3,"male (single)","none",2,"car or other",30,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
226,36,"no credits taken / all credits paid back duly","repairs",2613,"1 to 4 years",4,"male (single)","none",2,"car or other",27,"none","own",2,"skilled employee / official",1,"none","Yes","good"
227,48,"existing credits paid back duly till now","radio/television",10961,"4 to 7 years",1,"male (single)","co-Applicant",2,"unknown / no property",27,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
228,12,"existing credits paid back duly till now","furniture/equipment",7865,"more than 7 years",4,"male (single)","none",4,"unknown / no property",53,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
229,9,"existing credits paid back duly till now","radio/television",1478,"4 to 7 years",4,"male (single)","none",2,"car or other",22,"none","own",1,"skilled employee / official",1,"none",NA,"bad"
230,24,"existing credits paid back duly till now","furniture/equipment",3149,"less than 1 year",4,"male (single)","none",1,"unknown / no property",22,"bank","for free",1,"skilled employee / official",1,"none",NA,"good"
231,36,"existing credits paid back duly till now","radio/television",4210,"1 to 4 years",4,"male (single)","none",2,"car or other",26,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
232,9,"existing credits paid back duly till now","car (new)",2507,"more than 7 years",2,"male (single)","none",4,"unknown / no property",51,"none","for free",1,"unskilled - resident",1,"none",NA,"good"
233,12,"existing credits paid back duly till now","radio/television",2141,"4 to 7 years",3,"male (single)","none",1,"unknown / no property",35,"none","own",1,"skilled employee / official",1,"none",NA,"good"
234,18,"existing credits paid back duly till now","radio/television",866,"1 to 4 years",4,"male (married/widowed)","guarantor",2,"real estate",25,"none","own",1,"unskilled - resident",1,"none",NA,"good"
235,4,"critical account/ other credits existing (not at this bank)","radio/television",1544,"4 to 7 years",2,"male (single)","none",1,"real estate",42,"none","own",3,"unskilled - resident",2,"none",NA,"good"
236,24,"existing credits paid back duly till now","radio/television",1823,"Unemployed",4,"male (single)","none",2,"car or other",30,"stores","own",1,"management / self-employed / highly qualified employee / officer",2,"none","Yes","bad"
237,6,"existing credits paid back duly till now","car (new)",14555,"Unemployed",1,"male (single)","none",2,"building society savings agreement/ life insurance",23,"none","own",1,"unemployed / unskilled - non-resident",1,"yes, registered under the customers name",NA,"bad"
238,21,"existing credits paid back duly till now","business",2767,"more than 7 years",4,"male (divorced/separated)","none",2,"car or other",61,"bank","rent",2,"unskilled - resident",1,"none",NA,"bad"
239,12,"critical account/ other credits existing (not at this bank)","radio/television",1291,"1 to 4 years",4,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",35,"none","own",2,"skilled employee / official",1,"none","Yes","good"
240,30,"existing credits paid back duly till now","radio/television",2522,"more than 7 years",1,"male (single)","guarantor",3,"building society savings agreement/ life insurance",39,"none","own",1,"skilled employee / official",2,"none",NA,"good"
241,24,"existing credits paid back duly till now","car (new)",915,"more than 7 years",4,"female (divorced/separated/married)","none",2,"car or other",29,"bank","own",1,"skilled employee / official",1,"none",NA,"bad"
242,6,"existing credits paid back duly till now","radio/television",1595,"4 to 7 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",51,"none","own",1,"skilled employee / official",2,"none",NA,"good"
243,48,"no credits taken / all credits paid back duly","car (used)",4605,"more than 7 years",3,"male (single)","none",4,"unknown / no property",24,"none","for free",2,"skilled employee / official",2,"none",NA,"bad"
244,12,"critical account/ other credits existing (not at this bank)","business",1185,"1 to 4 years",3,"female (divorced/separated/married)","none",2,"real estate",27,"none","own",2,"skilled employee / official",1,"none","Yes","good"
245,12,"all credits at this bank paid back duly","retraining",3447,"1 to 4 years",4,"female (divorced/separated/married)","none",3,"real estate",35,"none","own",1,"unskilled - resident",2,"none",NA,"good"
246,24,"existing credits paid back duly till now","business",1258,"4 to 7 years",4,"male (single)","none",1,"real estate",25,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
247,12,"critical account/ other credits existing (not at this bank)","radio/television",717,"more than 7 years",4,"male (single)","none",4,"real estate",52,"none","own",3,"skilled employee / official",1,"none",NA,"good"
248,6,"no credits taken / all credits paid back duly","car (new)",1204,"1 to 4 years",4,"male (single)","none",1,"unknown / no property",35,"bank","rent",1,"skilled employee / official",1,"none","No","good"
249,24,"existing credits paid back duly till now","furniture/equipment",1925,"1 to 4 years",2,"male (single)","none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"none",NA,"good"
250,9999,"existing credits paid back duly till now","radio/television",433,"Unemployed",3,"female (divorced/separated/married)","co-Applicant",4,"real estate",22,"none","rent",1,"skilled employee / official",1,"none",NA,"bad"
251,9999,"critical account/ other credits existing (not at this bank)","car (new)",666,"4 to 7 years",3,"female (divorced/separated/married)","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"yes, registered under the customers name",NA,"good"
252,12,"existing credits paid back duly till now","furniture/equipment",2251,"1 to 4 years",1,"female (divorced/separated/married)","none",2,"car or other",46,"none","own",1,"unskilled - resident",1,"none","Yes","good"
253,30,"existing credits paid back duly till now","car (new)",2150,"1 to 4 years",4,"female (divorced/separated/married)","guarantor",2,"unknown / no property",24,"bank","own",1,"skilled employee / official",1,"none",NA,"bad"
254,24,"delay in paying off in the past","furniture/equipment",4151,"1 to 4 years",2,"male (single)","none",3,"building society savings agreement/ life insurance",35,"none","own",2,"skilled employee / official",1,"none",NA,"good"
255,9,"existing credits paid back duly till now","furniture/equipment",2030,"4 to 7 years",2,"male (single)","none",1,"car or other",24,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
256,60,"delay in paying off in the past","radio/television",7418,"1 to 4 years",1,"male (single)","none",1,"real estate",27,"none","own",1,"unskilled - resident",1,"none",NA,"good"
257,24,"critical account/ other credits existing (not at this bank)","radio/television",2684,"1 to 4 years",4,"male (single)","none",2,"real estate",35,"none","own",2,"unskilled - resident",1,"none",NA,"good"
258,12,"all credits at this bank paid back duly","radio/television",2149,"1 to 4 years",4,"male (divorced/separated)","none",1,"unknown / no property",29,"none","for free",1,"skilled employee / official",1,"none",NA,"bad"
259,15,"existing credits paid back duly till now","car (used)",3812,"less than 1 year",1,"female (divorced/separated/married)","none",4,"car or other",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
260,11,"critical account/ other credits existing (not at this bank)","radio/television",1154,"Unemployed",4,"female (divorced/separated/married)","none",4,"real estate",57,"none","own",3,"unskilled - resident",1,"none",NA,"good"
261,12,"existing credits paid back duly till now","furniture/equipment",1657,"1 to 4 years",2,"male (single)","none",2,"real estate",27,"none","own",1,"skilled employee / official",1,"none",NA,"good"
262,24,"existing credits paid back duly till now","radio/television",1603,"more than 7 years",4,"female (divorced/separated/married)","none",4,"car or other",55,"none","own",1,"skilled employee / official",1,"none",NA,"good"
263,18,"critical account/ other credits existing (not at this bank)","car (new)",5302,"more than 7 years",2,"male (single)","none",4,"unknown / no property",36,"none","for free",3,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
264,12,"critical account/ other credits existing (not at this bank)","education",2748,"more than 7 years",2,"female (divorced/separated/married)","none",4,"unknown / no property",57,"bank","for free",3,"unskilled - resident",1,"none","Yes","good"
265,10,"critical account/ other credits existing (not at this bank)","car (new)",1231,"more than 7 years",3,"male (single)","none",4,"real estate",32,"none","own",2,"unskilled - resident",2,"none","No","good"
266,15,"existing credits paid back duly till now","radio/television",802,"more than 7 years",4,"male (single)","none",3,"car or other",37,"none","own",1,"skilled employee / official",2,"none",NA,"bad"
267,36,"critical account/ other credits existing (not at this bank)","business",6304,"more than 7 years",4,"male (single)","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"none",NA,"good"
268,24,"existing credits paid back duly till now","radio/television",1533,"less than 1 year",4,"female (divorced/separated/married)","none",3,"car or other",38,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
269,14,"existing credits paid back duly till now","car (new)",8978,"more than 7 years",1,"male (divorced/separated)","none",4,"building society savings agreement/ life insurance",45,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","No","bad"
270,24,"existing credits paid back duly till now","radio/television",999,"more than 7 years",4,"male (single)","none",2,"car or other",25,"none","own",2,"skilled employee / official",1,"none","Yes","good"
271,18,"existing credits paid back duly till now","car (new)",2662,"4 to 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",32,"none","own",1,"skilled employee / official",1,"none",NA,"good"
272,12,"critical account/ other credits existing (not at this bank)","furniture/equipment",1402,"4 to 7 years",3,"female (divorced/separated/married)","none",4,"car or other",37,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
273,48,"all credits at this bank paid back duly","car (new)",12169,"Unemployed",4,"male (single)","co-Applicant",4,"unknown / no property",36,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
274,48,"existing credits paid back duly till now","radio/television",3060,"4 to 7 years",4,"male (single)","none",4,"real estate",28,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
275,30,"existing credits paid back duly till now","repairs",11998,"less than 1 year",1,"male (divorced/separated)","none",1,"unknown / no property",34,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad"
276,9,"existing credits paid back duly till now","radio/television",2697,"1 to 4 years",1,"male (single)","none",2,"real estate",32,"none","own",1,"skilled employee / official",2,"none",NA,"good"
277,18,"critical account/ other credits existing (not at this bank)","radio/television",2404,"1 to 4 years",2,"female (divorced/separated/married)","none",2,"car or other",26,"none","own",2,"skilled employee / official",1,"none",NA,"good"
278,12,"existing credits paid back duly till now","furniture/equipment",1262,"more than 7 years",2,"male (divorced/separated)","none",4,"building society savings agreement/ life insurance",49,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name",NA,"good"
279,6,"existing credits paid back duly till now","furniture/equipment",4611,"less than 1 year",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",32,"none","own",1,"skilled employee / official",1,"none",NA,"bad"
280,24,"existing credits paid back duly till now","radio/television",1901,"1 to 4 years",4,"male (single)","none",4,"car or other",29,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
281,15,"critical account/ other credits existing (not at this bank)","car (used)",3368,"more than 7 years",3,"male (single)","none",4,"unknown / no property",23,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
282,12,"existing credits paid back duly till now","furniture/equipment",1574,"1 to 4 years",4,"male (single)","none",2,"real estate",50,"none","own",1,"skilled employee / official",1,"none","Yes","good"
283,18,"all credits at this bank paid back duly","radio/television",1445,"4 to 7 years",4,"male (single)","none",4,"car or other",49,"bank","own",1,"unskilled - resident",1,"none",NA,"good"
284,15,"critical account/ other credits existing (not at this bank)","furniture/equipment",1520,"more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",63,"none","own",1,"skilled employee / official",1,"none",NA,"good"
285,24,"critical account/ other credits existing (not at this bank)","car (new)",3878,"less than 1 year",4,"male (divorced/separated)","none",2,"car or other",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
286,47,"existing credits paid back duly till now","car (new)",10722,"less than 1 year",1,"female (divorced/separated/married)","none",1,"real estate",35,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name",NA,"good"
287,48,"existing credits paid back duly till now","car (used)",4788,"4 to 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",2,"none",NA,"good"
288,48,"delay in paying off in the past","others",7582,"Unemployed",2,"male (single)","none",4,"unknown / no property",31,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
289,12,"existing credits paid back duly till now","radio/television",1092,"1 to 4 years",4,"female (divorced/separated/married)","guarantor",4,"real estate",49,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
290,24,"delay in paying off in the past","radio/television",1024,"less than 1 year",4,"male (married/widowed)","none",4,"real estate",48,"stores","own",1,"skilled employee / official",1,"none","Yes","bad"
291,12,"existing credits paid back duly till now","business",1076,"1 to 4 years",2,"male (married/widowed)","none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","No","good"
292,36,"existing credits paid back duly till now","car (used)",9398,"less than 1 year",1,"male (married/widowed)","none",4,"car or other",28,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"bad"
293,24,"critical account/ other credits existing (not at this bank)","car (used)",6419,"more than 7 years",2,"female (divorced/separated/married)","none",4,"unknown / no property",44,"none","for free",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name",NA,"good"
294,42,"critical account/ other credits existing (not at this bank)","car (used)",4796,"more than 7 years",4,"male (single)","none",4,"unknown / no property",56,"none","for free",1,"skilled employee / official",1,"none",NA,"good"
295,48,"critical account/ other credits existing (not at this bank)","business",7629,"more than 7 years",4,"male (divorced/separated)","none",2,"car or other",46,"bank","own",2,"management / self-employed / highly qualified employee / officer",2,"none",NA,"good"
296,48,"existing credits paid back duly till now","furniture/equipment",9960,"less than 1 year",1,"female (divorced/separated/married)","none",2,"car or other",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
297,12,"existing credits paid back duly till now","car (used)",4675,"less than 1 year",1,"female (divorced/separated/married)","none",4,"car or other",20,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
298,10,"existing credits paid back duly till now","car (new)",1287,"more than 7 years",4,"male (single)","co-Applicant",2,"building society savings agreement/ life insurance",45,"none","own",1,"unskilled - resident",1,"none",NA,"good"
299,18,"existing credits paid back duly till now","furniture/equipment",2515,"1 to 4 years",3,"male (single)","none",4,"real estate",43,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
300,21,"critical account/ other credits existing (not at this bank)","furniture/equipment",2745,"4 to 7 years",3,"male (single)","none",2,"car or other",32,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
301,6,"existing credits paid back duly till now","car (new)",672,"Unemployed",1,"female (divorced/separated/married)","none",4,"real estate",54,"none","own",1,"unemployed / unskilled - non-resident",1,"yes, registered under the customers name","Yes","good"
302,36,"no credits taken / all credits paid back duly","radio/television",3804,"1 to 4 years",4,"female (divorced/separated/married)","none",1,"car or other",42,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
303,24,"critical account/ other credits existing (not at this bank)","car (new)",1344,"4 to 7 years",4,"male (single)","none",2,"real estate",37,"bank","own",2,"unskilled - resident",2,"none",NA,"bad"
304,10,"critical account/ other credits existing (not at this bank)","car (new)",1038,"4 to 7 years",4,"male (single)","co-Applicant",3,"building society savings agreement/ life insurance",49,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
305,48,"critical account/ other credits existing (not at this bank)","car (new)",10127,"1 to 4 years",2,"male (single)","none",2,"unknown / no property",44,"bank","for free",1,"skilled employee / official",1,"none",NA,"bad"
306,6,"existing credits paid back duly till now","furniture/equipment",1543,"1 to 4 years",4,"male (divorced/separated)","none",2,"real estate",33,"none","own",1,"skilled employee / official",1,"none",NA,"good"
307,30,"existing credits paid back duly till now","car (used)",4811,"4 to 7 years",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"stores","rent",1,"unskilled - resident",1,"none",NA,"good"
308,12,"existing credits paid back duly till now","radio/television",727,"less than 1 year",4,"male (married/widowed)","none",3,"unknown / no property",33,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name",NA,"bad"
309,8,"existing credits paid back duly till now","furniture/equipment",1237,"1 to 4 years",3,"female (divorced/separated/married)","none",4,"real estate",24,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
310,9,"existing credits paid back duly till now","car (new)",276,"1 to 4 years",4,"male (married/widowed)","none",4,"real estate",22,"none","rent",1,"unskilled - resident",1,"none",NA,"good"
311,48,"existing credits paid back duly till now","others",5381,"Unemployed",3,"male (single)","none",4,"unknown / no property",40,"bank","for free",1,"unemployed / unskilled - non-resident",1,"yes, registered under the customers name",NA,"good"
312,24,"existing credits paid back duly till now","furniture/equipment",5511,"1 to 4 years",4,"male (single)","none",1,"car or other",25,"stores","own",1,"skilled employee / official",1,"none",NA,"good"
313,24,"existing credits paid back duly till now","furniture/equipment",3749,"less than 1 year",2,"female (divorced/separated/married)","none",4,"car or other",26,"none","own",1,"skilled employee / official",1,"none",NA,"good"
314,12,"existing credits paid back duly till now","car (new)",685,"4 to 7 years",2,"male (married/widowed)","none",3,"car or other",25,"bank","own",1,"unskilled - resident",1,"none",NA,"bad"
315,4,"existing credits paid back duly till now","car (new)",1494,"less than 1 year",1,"male (single)","none",2,"real estate",29,"none","own",1,"unskilled - resident",2,"none",NA,"good"
316,36,"all credits at this bank paid back duly","furniture/equipment",2746,"more than 7 years",4,"male (single)","none",4,"car or other",31,"bank","own",1,"skilled employee / official",1,"none",NA,"bad"
317,12,"existing credits paid back duly till now","furniture/equipment",708,"1 to 4 years",2,"male (single)","guarantor",3,"building society savings agreement/ life insurance",38,"none","own",1,"unskilled - resident",2,"none",NA,"good"
318,24,"existing credits paid back duly till now","furniture/equipment",4351,"1 to 4 years",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",48,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name",NA,"good"
319,12,"critical account/ other credits existing (not at this bank)","education",701,"1 to 4 years",4,"male (single)","none",2,"car or other",32,"none","own",2,"skilled employee / official",1,"none","Yes","good"
320,15,"delay in paying off in the past","furniture/equipment",3643,"more than 7 years",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",27,"none","own",2,"unskilled - resident",1,"none",NA,"good"
321,30,"critical account/ other credits existing (not at this bank)","car (new)",4249,"Unemployed",4,"male (married/widowed)","none",2,"car or other",28,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"none","Yes","bad"
322,24,"existing credits paid back duly till now","radio/television",1938,"less than 1 year",4,"male (divorced/separated)","none",3,"building society savings agreement/ life insurance",32,"none","own",1,"skilled employee / official",1,"none",NA,"bad"
323,24,"existing credits paid back duly till now","car (used)",2910,"4 to 7 years",2,"male (single)","none",1,"unknown / no property",34,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
324,18,"existing credits paid back duly till now","furniture/equipment",2659,"1 to 4 years",4,"male (single)","none",2,"car or other",28,"none","own",1,"skilled employee / official",1,"none",NA,"good"
325,18,"critical account/ other credits existing (not at this bank)","car (new)",1028,"1 to 4 years",4,"female (divorced/separated/married)","none",3,"real estate",36,"none","own",2,"skilled employee / official",1,"none","Yes","good"
326,8,"critical account/ other credits existing (not at this bank)","car (new)",3398,"4 to 7 years",1,"male (single)","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"none",NA,"good"
327,12,"critical account/ other credits existing (not at this bank)","furniture/equipment",5801,"more than 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",49,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
328,24,"existing credits paid back duly till now","car (new)",1525,"4 to 7 years",4,"female (divorced/separated/married)","none",3,"car or other",34,"none","own",1,"skilled employee / official",2,"yes, registered under the customers name",NA,"good"
329,36,"existing credits paid back duly till now","radio/television",4473,"more than 7 years",4,"male (single)","none",2,"car or other",31,"none","own",1,"skilled employee / official",1,"none","Yes","good"
330,6,"existing credits paid back duly till now","radio/television",1068,"more than 7 years",4,"male (single)","none",4,"car or other",28,"none","own",1,"skilled employee / official",2,"none",NA,"good"
331,24,"critical account/ other credits existing (not at this bank)","car (used)",6615,"Unemployed",2,"male (single)","none",4,"unknown / no property",75,"none","for free",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
332,18,"critical account/ other credits existing (not at this bank)","education",1864,"1 to 4 years",4,"female (divorced/separated/married)","none",2,"real estate",30,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
333,60,"existing credits paid back duly till now","car (new)",7408,"less than 1 year",4,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",24,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","bad"
334,48,"critical account/ other credits existing (not at this bank)","car (used)",11590,"1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",24,"bank","rent",2,"unskilled - resident",1,"none",NA,"bad"
335,24,"no credits taken / all credits paid back duly","furniture/equipment",4110,"more than 7 years",3,"male (single)","none",4,"unknown / no property",23,"bank","rent",2,"skilled employee / official",2,"none","Yes","bad"
336,6,"critical account/ other credits existing (not at this bank)","furniture/equipment",3384,"1 to 4 years",1,"male (divorced/separated)","none",4,"real estate",44,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
337,13,"existing credits paid back duly till now","radio/television",2101,"less than 1 year",2,"female (divorced/separated/married)","guarantor",4,"building society savings agreement/ life insurance",23,"none","own",1,"unskilled - resident",1,"none","Yes","good"
338,15,"existing credits paid back duly till now","domestic appliances",1275,"1 to 4 years",4,"female (divorced/separated/married)","none",2,"car or other",24,"none","rent",1,"skilled employee / official",1,"none",NA,"bad"
339,24,"existing credits paid back duly till now","furniture/equipment",4169,"1 to 4 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",28,"none","own",1,"skilled employee / official",1,"none","Yes","good"
